TransactionID,CustomerID,Timestamp,item_name,quantity
10001,70,2024-01-28 10:00,Cumin Seeds,1
10001,70,2024-01-28 10:00,Bourbon Biscuits,2
10001,70,2024-01-28 10:00,Moong Dal,2
10001,70,2024-01-28 10:00,Good Day Biscuits,3
10001,70,2024-01-28 10:00,Potato,3
10002,99,2024-01-20 09:00,Detergent Powder,2
10002,99,2024-01-20 09:00,Dish Wash Liquid,2
10003,23,2024-01-26 18:00,Potato,3
10003,23,2024-01-26 18:00,USB Cable,2
10003,23,2024-01-26 18:00,Papaya,1
10003,23,2024-01-26 18:00,Bourbon Biscuits,3
10003,23,2024-01-26 18:00,Watermelon,3
10004,73,2024-01-16 15:00,Spinach,2
10004,73,2024-01-16 15:00,Buns,2
10004,73,2024-01-16 15:00,Face Wash,3
10004,73,2024-01-16 15:00,Roasted Chickpeas,3
10004,73,2024-01-16 15:00,Calculator,1
10005,6,2024-01-22 15:00,Guava,1
10005,6,2024-01-22 15:00,Thermometer,2
10005,6,2024-01-22 15:00,Milk Chocolate Spread,3
10006,66,2024-01-05 08:00,Plastic Storage Box,3
10006,66,2024-01-05 08:00,Ready Chole,1
10006,66,2024-01-05 08:00,Pencil,2
10007,78,2024-01-29 15:00,Pasta Sauce,3
10007,78,2024-01-29 15:00,Moong Dal,2
10007,78,2024-01-29 15:00,Tea Powder,3
10007,78,2024-01-29 15:00,Aluminium Foil,1
10008,92,2024-01-08 18:00,Hair Oil,2
10008,92,2024-01-08 18:00,Mutton,2
10008,92,2024-01-08 18:00,Pencil,3
10009,73,2024-01-20 17:00,Wall Clock,1
10009,73,2024-01-20 17:00,Diya Lamp,1
10009,73,2024-01-20 17:00,Paper Clips,1
10010,82,2024-01-14 15:00,Ready Paneer Curry,2
10010,82,2024-01-14 15:00,Pineapple,3
10010,82,2024-01-14 15:00,Roasted Peanuts,3
10011,45,2024-01-08 07:00,50-50 Biscuits,3
10011,45,2024-01-08 07:00,Roasted Chickpeas,2
10011,45,2024-01-08 07:00,Wallet,2
10011,45,2024-01-08 07:00,Ready Dal,3
10011,45,2024-01-08 07:00,Apple,1
10011,45,2024-01-08 07:00,Cabbage,1
10012,42,2024-01-23 15:00,Extension Cord,1
10012,42,2024-01-23 15:00,Face Mask,3
10012,42,2024-01-23 15:00,Ice Cream Family Pack,2
10012,42,2024-01-23 15:00,Ragi Flour,2
10012,42,2024-01-23 15:00,Tea Bags,1
10012,42,2024-01-23 15:00,Eggs,2
10013,38,2024-01-18 10:00,Pressure Cooker,3
10013,38,2024-01-18 10:00,Nachos,1
10013,38,2024-01-18 10:00,Body Lotion,2
10013,38,2024-01-18 10:00,Steel Plate,3
10014,100,2024-01-11 18:00,Jaggery,1
10014,100,2024-01-11 18:00,Diya Lamp,1
10014,100,2024-01-11 18:00,Frozen Paratha,1
10014,100,2024-01-11 18:00,Pet Feeding Bowl,1
10015,69,2024-01-27 12:00,Buns,2
10015,69,2024-01-27 12:00,Banana,3
10016,47,2024-01-06 08:00,Pasta,1
10016,47,2024-01-06 08:00,Turmeric Powder,3
10016,47,2024-01-06 08:00,Milk Bikis Biscuits,1
10016,47,2024-01-06 08:00,Toilet Cleaner,1
10016,47,2024-01-06 08:00,Groundnut Oil,3
10016,47,2024-01-06 08:00,Pain Relief Spray,2
10017,35,2024-01-26 15:00,T-Shirt,3
10017,35,2024-01-26 15:00,LED Bulb,3
10017,35,2024-01-26 15:00,Namkeen Mix,1
10017,35,2024-01-26 15:00,Jaggery,1
10017,35,2024-01-26 15:00,Banana Chips,1
10017,35,2024-01-26 15:00,Ice Cream Cup,2
10018,50,2024-01-25 13:00,Pet Treats,1
10018,50,2024-01-25 13:00,Toothpaste,3
10018,50,2024-01-25 13:00,Orange,1
10018,50,2024-01-25 13:00,Mustard Seeds,3
10019,47,2024-01-06 07:00,Energy Drink,1
10019,47,2024-01-06 07:00,LED Bulb,2
10019,47,2024-01-06 07:00,Cheese,3
10020,5,2024-01-18 17:00,Coconut Oil,1
10020,5,2024-01-18 17:00,Coriander Powder,3
10020,5,2024-01-18 17:00,Peanut Butter,1
10021,44,2024-01-12 14:00,Little Hearts Biscuits,2
10021,44,2024-01-12 14:00,Pencil,1
10021,44,2024-01-12 14:00,Butter,2
10021,44,2024-01-12 14:00,Floor Cleaner,1
10021,44,2024-01-12 14:00,Hide & Seek Biscuits,2
10021,44,2024-01-12 14:00,Eggs,1
10022,69,2024-01-14 17:00,Potato Chips,1
10022,69,2024-01-14 17:00,Diya Lamp,1
10022,69,2024-01-14 17:00,Pain Relief Spray,2
10022,69,2024-01-14 17:00,Jaggery,1
10023,66,2024-01-19 18:00,Namkeen Mix,1
10023,66,2024-01-19 18:00,Banana,1
10023,66,2024-01-19 18:00,Pain Relief Spray,2
10024,30,2024-01-25 20:00,Sunflower Oil,1
10024,30,2024-01-25 20:00,Wall Clock,1
10024,30,2024-01-25 20:00,Batteries AA,3
10025,49,2024-01-31 21:00,Apple,3
10025,49,2024-01-31 21:00,Soft Toy,2
10025,49,2024-01-31 21:00,Power Strip,2
10026,21,2024-01-25 21:00,Instant Coffee,1
10026,21,2024-01-25 21:00,Glue Stick,1
10026,21,2024-01-25 21:00,Yogurt Drink,1
10026,21,2024-01-25 21:00,Ready Chole,3
10027,31,2024-01-29 18:00,Pain Relief Spray,1
10027,31,2024-01-29 18:00,Pomegranate,1
10028,60,2024-01-05 19:00,Groundnut Oil,3
10028,60,2024-01-05 19:00,Ready Dal,3
10028,60,2024-01-05 19:00,Notebook Diary,3
10028,60,2024-01-05 19:00,Krackjack Biscuits,3
10029,73,2024-01-03 12:00,Wallet,3
10029,73,2024-01-03 12:00,Cold Coffee,1
10029,73,2024-01-03 12:00,Wall Clock,1
10029,73,2024-01-03 12:00,Ready Paneer Curry,1
10029,73,2024-01-03 12:00,Diya Lamp,3
10029,73,2024-01-03 12:00,Pooja Oil,3
10030,34,2024-01-26 07:00,Peanut Butter Crunchy,1
10030,34,2024-01-26 07:00,Raincoat,1
10030,34,2024-01-26 07:00,Banana Chips,1
10030,34,2024-01-26 07:00,Key Chain,1
10030,34,2024-01-26 07:00,Extension Cord,1
10031,78,2024-01-25 17:00,Stapler,1
10031,78,2024-01-25 17:00,Tissue Paper,1
10031,78,2024-01-25 17:00,Cat Food,1
10032,81,2024-01-03 10:00,50-50 Biscuits,2
10032,81,2024-01-03 10:00,LED Bulb,1
10033,32,2024-01-18 14:00,Instant Noodles,3
10033,32,2024-01-18 14:00,Mustard Seeds,2
10034,29,2024-01-03 21:00,Instant Oats,2
10034,29,2024-01-03 21:00,Idli Batter,1
10034,29,2024-01-03 21:00,Red Chilli Powder,2
10034,29,2024-01-03 21:00,Coffee Powder,2
10035,45,2024-01-05 10:00,Cumin Seeds,3
10035,45,2024-01-05 10:00,Notebook Diary,3
10036,73,2024-01-20 08:00,Sharpener,2
10036,73,2024-01-20 08:00,Frozen Paratha,2
10036,73,2024-01-20 08:00,Tofu,1
10036,73,2024-01-20 08:00,Backpack,2
10036,73,2024-01-20 08:00,Pet Treats,3
10036,73,2024-01-20 08:00,Hand Gloves,3
10037,33,2024-01-27 14:00,Face Mask,2
10037,33,2024-01-27 14:00,Remote Car,3
10037,33,2024-01-27 14:00,Roasted Peanuts,2
10037,33,2024-01-27 14:00,Masoor Dal,2
10038,22,2024-01-23 21:00,Wheat Flour,3
10038,22,2024-01-23 21:00,Guava,1
10038,22,2024-01-23 21:00,Backpack,3
10039,20,2024-01-15 15:00,T-Shirt,1
10039,20,2024-01-15 15:00,Paneer,2
10039,20,2024-01-15 15:00,Pressure Cooker,2
10040,8,2024-01-17 10:00,Milk,2
10040,8,2024-01-17 10:00,Pasta,1
10040,8,2024-01-17 10:00,Mixture,2
10041,97,2024-01-22 18:00,Bread,3
10041,97,2024-01-22 18:00,Cheese,3
10041,97,2024-01-22 18:00,Cricket Ball,3
10041,97,2024-01-22 18:00,Ghee,3
10041,97,2024-01-22 18:00,Banana Chips,2
10041,97,2024-01-22 18:00,Garbage Bags,1
10042,69,2024-01-11 13:00,Popcorn Kernels,1
10042,69,2024-01-11 13:00,Protein Bars,1
10042,69,2024-01-11 13:00,Idli Batter,1
10043,93,2024-01-14 07:00,Cake Pastry,3
10043,93,2024-01-14 07:00,USB Cable,3
10044,28,2024-01-24 12:00,Papaya,1
10044,28,2024-01-24 12:00,Fish,2
10045,53,2024-01-27 07:00,Extension Cord,3
10045,53,2024-01-27 07:00,Raincoat,2
10046,65,2024-01-11 14:00,Mobile Cover,3
10046,65,2024-01-11 14:00,Pineapple,2
10046,65,2024-01-11 14:00,Cabbage,3
10046,65,2024-01-11 14:00,First Aid Kit,3
10046,65,2024-01-11 14:00,Banana Chips,3
10047,35,2024-01-09 10:00,Ragi Flour,3
10047,35,2024-01-09 10:00,Pencil,1
10047,35,2024-01-09 10:00,Chana Dal,3
